rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
187	gainesville_fl	Gainesville	Southern Evac Line	Southern Evac Line mirror-code archive	Coastal Port	Gainesville Signal Spire	Coastal Port with mirrored plaza around Gainesville Signal Spire, signature 187	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
188	pomona_ca	Pomona	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Pomona Rescue Arch	Coastal Port with halved search vault around Pomona Rescue Arch, signature 188	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
189	rockford_il	Rockford	Midwest Grid	Midwest Grid drone beacon yard	Great Lakes Industrial	Rockford Data Beacon	Great Lakes Industrial with timed beacon pylons around Rockford Data Beacon, signature 189	Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
190	thornton_co	Thornton	Western Corridor	Western Corridor triage routing depot	Latin Metro	Thornton Command Obelisk	Latin Metro with triage conveyor lanes around Thornton Command Obelisk, signature 190	Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
191	waco_tx	Waco	Southern Evac Line	Southern Evac Line evacuation chain depot	Desert Solar Grid	Waco Relay Bridge	Desert Solar Grid with linked evacuation posts around Waco Relay Bridge, signature 191	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
192	visalia_ca	Visalia	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Visalia Power Crown	Coastal Port with mirrored plaza around Visalia Power Crown, signature 192	Mirror-code walk 4: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
193	syracuse_ny	Syracuse	Northeast Relay	Northeast Relay sorted supply-cache vault	Coastal Port	Syracuse Signal Spire	Coastal Port with halved search vault around Syracuse Signal Spire, signature 193	Sorted-cache vault 1: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
194	columbia_sc	Columbia	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	Columbia Rescue Arch	Coastal Port with timed beacon pylons around Columbia Rescue Arch, signature 194	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
195	midland_tx	Midland	Southern Evac Line	Southern Evac Line triage routing depot	Desert Solar Grid	Midland Data Beacon	Desert Solar Grid with triage conveyor lanes around Midland Data Beacon, signature 195	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
196	miramar_fl	Miramar	Southern Evac Line	Southern Evac Line evacuation chain depot	Coastal Port	Miramar Command Obelisk	Coastal Port with linked evacuation posts around Miramar Command Obelisk, signature 196	Evacuation chain 4: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
197	palm_bay_fl	Palm Bay	Southern Evac Line	Southern Evac Line mirror-code archive	Coastal Port	Palm Bay Relay Bridge	Coastal Port with mirrored plaza around Palm Bay Relay Bridge, signature 197	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
198	jackson_ms	Jackson	Southern Evac Line	Southern Evac Line sorted supply-cache vault	River Lockworks	Jackson Power Crown	River Lockworks with halved search vault around Jackson Power Crown, signature 198	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
199	coral_springs_fl	Coral Springs	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	Coral Springs Signal Spire	Coastal Port with timed beacon pylons around Coral Springs Signal Spire, signature 199	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
200	victorville_ca	Victorville	Western Corridor	Western Corridor triage routing depot	Coastal Port	Victorville Rescue Arch	Coastal Port with triage conveyor lanes around Victorville Rescue Arch, signature 200	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
201	elizabeth_nj	Elizabeth	Northeast Relay	Northeast Relay evacuation chain depot	Coastal Port	Elizabeth Data Beacon	Coastal Port with linked evacuation posts around Elizabeth Data Beacon, signature 201	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
202	fullerton_ca	Fullerton	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Fullerton Command Obelisk	Coastal Port with mirrored plaza around Fullerton Command Obelisk, signature 202	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
203	meridian_id	Meridian	Western Corridor	Western Corridor sorted supply-cache vault	Monsoon Port	Meridian Relay Bridge	Monsoon Port with halved search vault around Meridian Relay Bridge, signature 203	Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
204	torrance_ca	Torrance	Western Corridor	Western Corridor drone beacon yard	Coastal Port	Torrance Power Crown	Coastal Port with timed beacon pylons around Torrance Power Crown, signature 204	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
205	stamford_ct	Stamford	Northeast Relay	Northeast Relay triage routing depot	Coastal Port	Stamford Signal Spire	Coastal Port with triage conveyor lanes around Stamford Signal Spire, signature 205	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
206	west_valley_city_ut	West Valley City	Western Corridor	Western Corridor evacuation chain depot	Mountain Relay	West Valley City Rescue Arch	Mountain Relay with linked evacuation posts around West Valley City Rescue Arch, signature 206	Evacuation chain 2: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
207	orange_ca	Orange	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Orange Data Beacon	Coastal Port with mirrored plaza around Orange Data Beacon, signature 207	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
208	cedar_rapids_ia	Cedar Rapids	Midwest Grid	Midwest Grid sorted supply-cache vault	River Lockworks	Cedar Rapids Command Obelisk	River Lockworks with halved search vault around Cedar Rapids Command Obelisk, signature 208	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
